"Population by ethnicity and sex at country and municipal level for the years 2011 and 2024"

"Sex","Municipality","2024 Total","2024 Albanian","2024 Serb","2024 Bosniak","2024 Turk","2024 Romani","2024 Ashkali","2024 Egyptian","2024 Gorani","2024 Others","2024 Prefers not to answer","2011 Total","2011 Albanian","2011 Serb","2011 Bosniak","2011 Turk","2011 Romani","2011 Ashkali","2011 Egyptian","2011 Gorani","2011 Others","2011 Prefers not to answer"
"Total","Shtërpcë",10771,2626,8080,6,2,37,0,0,8,8,4,6949,3757,3148,2,0,24,1,0,0,7,10
"Total","Suharekë",45749,45188,14,10,4,126,389,7,0,3,8,59722,59076,2,15,4,41,493,5,0,15,71
"Total","Ferizaj",109255,105025,23,40,56,218,3609,129,52,57,46,108610,104152,32,83,55,204,3629,24,64,102,265
"Total","Viti",35566,35323,124,11,2,0,32,0,7,43,24,46987,46669,113,25,4,12,14,0,7,83,60
"Total","Vushtrri",61528,60847,207,22,230,129,45,0,0,32,16,69870,68840,384,33,278,68,143,1,3,50,70
"Total","Zubin Potok",763,682,80,0,0,0,0,0,0,1,0,:,:,:,:,:,:,:,:,:,:,:
"Total","Zveqan",434,356,76,2,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:
"Total","Malishevë",43888,43817,6,16,2,28,10,1,0,6,2,54613,54501,0,15,0,26,5,0,0,8,58
"Total","Junik",3943,3938,1,1,0,0,0,0,0,0,3,6084,6069,0,0,0,0,0,0,0,4,11
"Total","Mamushë",5607,319,2,8,5220,50,7,0,0,1,0,5507,327,0,1,5128,39,12,0,0,0,0
"Total","Hani i Elezit",8533,8517,3,9,0,0,0,0,0,3,1,9403,9357,0,42,0,0,0,0,0,2,2
"Total","Graçanicë",18486,8623,8560,25,94,909,133,6,52,76,8,10675,2474,7209,15,15,745,104,3,22,45,43
"Total","Ranillug",2481,129,2349,1,0,0,0,0,0,2,0,3866,164,3692,1,0,0,0,0,0,3,6
"Total","Partesh",3240,13,3221,2,0,1,0,0,0,3,0,1787,0,1785,0,0,0,0,0,0,2,0
"Total","Kllokot",3041,1702,1330,0,0,5,0,0,0,2,2,2556,1362,1177,0,1,9,0,0,0,6,1
"Total","Mitrovicë e Veriut",2326,1463,247,359,85,1,29,0,104,37,1,:,:,:,:,:,:,:,:,:,:,:
"Female","KOSOVA",790014,725645,17726,13484,9669,4299,7864,5137,4541,1148,501,863925,801883,12494,14238,9435,4428,7581,5763,5132,1463,1508
"Female","Deçan",13887,13658,1,25,0,17,12,153,0,3,18,19894,19579,3,30,0,14,21,189,0,16,42
"Female","Gjakovë",39451,36197,11,29,7,259,504,2343,7,22,72,47330,43810,17,51,11,362,299,2597,7,54,122
"Female","Gllogoc",23945,23914,0,11,1,0,1,0,0,11,7,28803,28741,2,14,3,0,0,1,0,20,22
"Female","Gjilan",41216,40005,466,58,378,204,8,0,36,28,33,44824,43551,322,108,493,182,9,1,39,73,46
"Female","Dragash",14085,8566,7,1401,163,0,0,4,3846,87,11,16962,10146,5,2030,103,1,2,2,4452,144,77
"Female","Istog",16511,15009,240,497,1,44,110,584,0,13,13,19327,17729,87,589,3,18,64,782,0,25,30
"Female","Kaçanik",13681,13654,5,5,0,5,1,0,0,9,2,16439,16395,1,20,2,5,1,0,0,7,8
"Female","Klinë",15474,14837,146,14,0,42,18,405,0,9,3,19303,18667,48,18,2,36,45,455,0,15,17
"Female","Fushë Kosovë",32102,29400,258,33,88,233,1573,414,20,50,33,17206,14993,162,23,27,204,1560,134,8,75,20
"Female","Kamenicë",11177,10064,888,8,3,195,1,0,6,12,0,17526,16598,751,7,5,108,0,0,16,21,20
"Female","Mitrovicë",32101,31052,16,182,129,186,474,24,6,28,4,35634,34333,13,275,250,265,317,4,9,35,133
"Female","Leposaviq",1490,73,1259,21,2,0,0,0,0,74,61,:,:,:,:,:,:,:,:,:,:,:
"Female","Lipjan",27141,25585,276,31,64,152,917,7,6,96,7,28285,26744,248,35,62,154,876,3,3,141,19
"Female","Novobërdë",2207,1866,298,4,1,30,0,0,0,5,3,3248,1722,1479,5,5,31,2,0,0,1,3
"Female","Obiliq",11150,9405,796,34,1,577,304,11,0,15,7,10664,9807,141,37,2,335,284,15,2,24,17
"Female","Rahovec",20879,20234,272,4,0,53,172,125,0,11,8,27696,27167,65,8,2,43,193,151,0,10,57
"Female","Pejë",41660,37993,403,1550,10,444,142,927,97,59,35,48298,43948,166,1978,29,527,72,1317,93,94,74
"Female","Podujevë",35155,34674,9,21,2,23,387,7,0,18,14,43544,43038,7,30,3,37,328,2,0,34,65
"Female","Prishtinë",114882,112508,387,248,1049,27,201,6,97,300,59,99536,97105,226,293,1096,25,276,5,106,224,180
"Female","Prizren",73972,57641,106,8979,5069,1040,603,61,301,130,42,88605,72389,132,8446,4660,1483,650,89,345,224,187
"Female","Skënderaj",19983,19833,116,14,3,1,1,1,0,8,6,25212,25103,27,32,1,0,3,0,0,5,41
"Female","Shtime",11877,11493,0,10,1,9,355,1,0,5,3,13474,13047,20,18,1,12,357,0,1,6,12
"Female","Shtërpcë",5141,1222,3884,4,2,18,0,0,4,5,2,3395,1823,1547,1,0,11,1,0,0,7,5
"Female","Suharekë",23033,22745,9,8,3,65,194,2,0,3,4,30244,29903,2,12,2,18,256,2,0,11,38
"Female","Ferizaj",54223,52123,13,36,19,104,1776,62,27,36,27,53769,51477,14,76,25,96,1834,12,32,73,130
"Female","Viti",17647,17512,65,9,1,0,20,0,2,28,10,23287,23106,54,25,2,5,6,0,3,45,41
"Female","Vushtrri",29912,29570,105,21,103,67,21,0,0,17,8,33866,33337,187,32,138,34,68,1,2,28,39
"Female","Zubin Potok",378,347,30,0,0,0,0,0,0,1,0,:,:,:,:,:,:,:,:,:,:,:
"Female","Zveqan",214,177,35,2,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:
"Female","Malishevë",22572,22532,2,13,2,14,6,0,0,3,0,27952,27885,0,15,0,13,4,0,0,7,28
"Female","Junik",1966,1962,1,1,0,0,0,0,0,0,2,3089,3076,0,0,0,0,0,0,0,4,9
"Female","Mamushë",2673,167,1,4,2476,21,4,0,0,0,0,2689,162,0,1,2499,21,6,0,0,0,0
"Female","Hani i Elezit",4091,4083,1,3,0,0,0,0,0,3,1,4567,4544,0,20,0,0,0,0,0,2,1
"Female","Graçanicë",8786,3919,4228,14,46,465,48,0,29,34,3,5257,1209,3535,8,8,383,47,1,14,29,23
"Female","Ranillug",1186,61,1123,0,0,0,0,0,0,2,0,1897,83,1809,1,0,0,0,0,0,3,1
"Female","Partesh",1548,4,1539,2,0,0,0,0,0,3,0,865,0,863,0,0,0,0,0,0,2,0
"Female","Kllokot",1435,817,611,0,0,3,0,0,0,2,2,1238,666,561,0,1,5,0,0,0,4,1
"Female","Mitrovicë e Veriut",1183,743,119,188,45,1,11,0,57,18,1,:,:,:,:,:,:,:,:,:,:,:
"Male","KOSOVA",795552,729318,18926,13357,9750,4431,8343,5444,4599,903,481,875900,814986,13038,13295,9303,4396,7855,5761,5133,889,1244
"Male","Deçan",13888,13608,1,33,0,19,17,188,0,0,22,20125,19823,0,30,0,19,21,204,1,3,24
"Male","Gjakovë",39248,35899,4,12,3,277,570,2395,7,6,75,47226,43862,0,22,5,376,314,2520,6,38,83
"Male","Gllogoc",24134,24122,0,2,2,0,0,0,0,4,4,29728,29704,0,0,2,0,0,1,0,2,19
"Male","Gjilan",41764,40637,474,8,367,205,7,1,26,13,26,45354,44263,302,13,485,179,6,0,30,22,54
"Male","Dragash",14811,8988,10,1499,191,0,0,1,3982,125,15,17035,10141,2,2070,99,2,2,1,4505,139,74
"Male","Istog",16497,14883,303,499,2,36,110,646,0,2,16,19962,18425,107,553,7,21,47,762,0,20,20
"Male","Kaçanik",14035,14031,1,1,0,0,0,0,0,2,0,16970,16967,0,0,0,0,0,0,0,0,3
"Male","Klinë",15029,14314,181,0,0,44,23,460,0,1,6,19193,18549,50,2,1,42,40,479,0,8,22
"Male","Fushë Kosovë",31847,29001,258,17,107,265,1651,436,17,52,43,17621,15282,159,11,35,232,1670,148,7,56,21
"Male","Kamenicë",11691,10494,1000,4,0,184,0,0,4,3,2,18559,17588,803,2,0,132,0,0,13,6,15
"Male","Mitrovicë",32641,31641,2,96,128,186,538,23,4,15,8,36275,35164,1,141,268,263,330,2,14,12,80
"Male","Leposaviq",1695,99,1418,13,1,0,0,0,0,82,82,:,:,:,:,:,:,:,:,:,:,:
"Male","Lipjan",27903,26276,293,8,89,166,974,4,5,84,4,29320,27723,265,7,66,188,936,1,3,119,12
"Male","Novobërdë",2286,1935,308,0,1,33,0,0,0,7,2,3481,1802,1643,0,2,32,1,0,0,1,0
"Male","Obiliq",11665,9837,804,20,0,637,334,12,0,18,3,10885,10047,135,21,0,326,294,12,3,24,23
"Male","Rahovec",20920,20257,310,5,0,55,151,130,0,7,5,28512,27999,69,2,0,41,211,148,0,1,41
"Male","Pejë",41085,37486,410,1424,18,445,167,989,95,32,19,48152,44027,166,1808,30,466,71,1383,96,38,67
"Male","Podujevë",35820,35397,6,0,2,33,365,6,0,5,6,44955,44485,5,3,2,37,352,0,0,9,62
"Male","Prishtinë",112584,110390,383,108,1089,30,226,11,91,215,41,99361,97347,204,107,1060,31,281,3,99,110,119
"Male","Prizren",73274,56843,96,9400,4750,1061,657,56,264,105,42,89176,73329,105,8450,4431,1416,700,79,310,162,194
"Male","Skënderaj",20681,20556,107,1,2,1,2,7,0,3,2,25646,25582,23,10,0,0,7,1,0,0,23
"Male","Shtime",12431,12040,0,0,0,8,377,0,0,3,3,13850,13400,29,2,0,11,393,0,1,7,7
"Male","Shtërpcë",5630,1404,4196,2,0,19,0,0,4,3,2,3554,1934,1601,1,0,13,0,0,0,0,5
"Male","Suharekë",22716,22443,5,2,1,61,195,5,0,0,4,29478,29173,0,3,2,23,237,3,0,4,33
"Male","Ferizaj",55032,52902,10,4,37,114,1833,67,25,21,19,54841,52675,18,7,30,108,1795,12,32,29,135
"Male","Viti",17919,17811,59,2,1,0,12,0,5,15,14,23700,23563,59,0,2,7,8,0,4,38,19
"Male","Vushtrri",31616,31277,102,1,127,62,24,0,0,15,8,36004,35503,197,1,140,34,75,0,1,22,31
"Male","Zubin Potok",385,335,50,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:
"Male","Zveqan",220,179,41,0,0,0,0,0,0,0,0,:,:,:,:,:,:,:,:,:,:,:
"Male","Malishevë",21316,21285,4,3,0,14,4,1,0,3,2,26661,26616,0,0,0,13,1,0,0,1,30
"Male","Junik",1977,1976,0,0,0,0,0,0,0,0,1,2995,2993,0,0,0,0,0,0,0,0,2
"Male","Mamushë",2934,152,1,4,2744,29,3,0,0,1,0,2818,165,0,0,2629,18,6,0,0,0,0
"Male","Hani i Elezit",4442,4434,2,6,0,0,0,0,0,0,0,4836,4813,0,22,0,0,0,0,0,0,1
"Male","Graçanicë",9700,4704,4332,11,48,444,85,6,23,42,5,5418,1265,3674,7,7,362,57,2,8,16,20
"Male","Ranillug",1295,68,1226,1,0,0,0,0,0,0,0,1969,81,1883,0,0,0,0,0,0,0,5
"Male","Partesh",1692,9,1682,0,0,1,0,0,0,0,0,922,0,922,0,0,0,0,0,0,0,0
"Male","Kllokot",1606,885,719,0,0,2,0,0,0,0,0,1318,696,616,0,0,4,0,0,0,2,0
"Male","Mitrovicë e Veriut",1143,720,128,171,40,0,18,0,47,19,0,:,:,:,:,:,:,:,:,:,:,:
